Longitude,Latitude
-84.074003,33.984075
-84.074048,33.983889
-84.074079,33.983744
-84.074112,33.98373
-84.07435,33.98363
-84.074646,33.983494
-84.074922,33.983329
-84.075061,33.98322
-84.075153,33.983131
-84.075171,33.98307
-84.075183,33.982929
-84.075164,33.982809
-84.075135,33.982732
-84.075092,33.982649
-84.07479,33.982217
-84.074388,33.981625
-84.074342,33.98158
-84.074395,33.981548
-84.074504,33.981484
-84.07469,33.981392
-84.074969,33.981334
-84.075134,33.981341
-84.075254,33.981319
-84.075413,33.98127
-84.075581,33.981213
-84.076083,33.982164
-84.07652,33.982836
-84.07704,33.983525
-84.07715,33.983637
-84.077838,33.984469
-84.078309,33.985008
-84.078491,33.985183
-84.078627,33.985314
-84.079043,33.985653
-84.079312,33.985872
-84.07947,33.985975
-84.079664,33.986101
-84.079757,33.986161
-84.079932,33.986247
-84.080019,33.986289
-84.080282,33.986417
-84.080585,33.986564
-84.081091,33.986749
-84.081772,33.986951
-84.082027,33.987025
-84.082121,33.987057
-84.083334,33.987476
-84.084824,33.987973
-84.085374,33.988149
-84.085473,33.987948
-84.085496,33.987863
-84.085572,33.987549
-84.085787,33.986684
-84.086062,33.98593
-84.086453,33.985153
-84.086778,33.984532
-84.087122,33.983864
-84.087367,33.983263
-84.087627,33.982566
-84.087964,33.981483
-84.088053,33.980998
-84.088473,33.979709
-84.089031,33.978542
-84.089095,33.978403
-84.089598,33.977297
-84.089916,33.976665
-84.090323,33.97586
-84.09067,33.97513
-84.090935,33.97456
-84.091185,33.974029
-84.091398,33.973555
-84.091399,33.973257
-84.091724,33.972629
-84.092076,33.972131
-84.092422,33.97161
-84.092708,33.971189
-84.092951,33.970869
-84.09307,33.970715
-84.093475,33.970263
-84.093719,33.969981
-84.093908,33.969799
-84.094696,33.968964
-84.095369,33.968365
-84.095835,33.967995
-84.096831,33.96726
-84.097727,33.966691
-84.098735,33.966115
-84.099812,33.965608
-84.100983,33.965136
-84.103042,33.964277
-84.104406,33.963732
-84.104949,33.963509
-84.105402,33.963322
-84.107572,33.962454
-84.109068,33.961856
-84.110746,33.961177
-84.112417,33.960534
-84.115217,33.959396
-84.116166,33.959009
-84.116813,33.95874
-84.117453,33.958466
-84.118128,33.958166
-84.118796,33.957863
-84.121385,33.956645
-84.124794,33.954963
-84.125281,33.954723
-84.130262,33.952276
-84.135273,33.94986
-84.137805,33.948626
-84.140348,33.947404
-84.145516,33.944943
-84.147295,33.944079
-84.151216,33.942173
-84.151594,33.941987
-84.151966,33.941796
-84.152382,33.941562
-84.152795,33.941326
-84.153135,33.941115
-84.153471,33.940901
-84.153863,33.940635
-84.154248,33.940359
-84.155518,33.939398
-84.156442,33.938715
-84.156475,33.938691
-84.15655,33.938636
-84.157612,33.93782
-84.159398,33.936526
-84.159529,33.936423
-84.161177,33.935218
-84.161511,33.934978
-84.161845,33.934755
-84.161969,33.934678
-84.16219,33.934545
-84.162538,33.93434
-84.163299,33.933933
-84.164111,33.933573
-84.165023,33.933227
-84.170285,33.931144
-84.17065,33.930997
-84.172067,33.930409
-84.173186,33.929903
-84.17641,33.928365
-84.18093,33.926214
-84.182222,33.925593
-84.184626,33.924451
-84.185452,33.924054
-84.187245,33.923212
-84.18957,33.922104
-84.190121,33.921839
-84.197001,33.918542
-84.197477,33.918173
-84.198598,33.917528
-84.199537,33.916898
-84.200374,33.916342
-84.201304,33.915729
-84.202383,33.914997
-84.203254,33.914414
-84.204273,33.913724
-84.205148,33.913187
-84.205682,33.912905
-84.206229,33.912655
-84.206983,33.912375
-84.207551,33.912208
-84.208267,33.912048
-84.209053,33.911936
-84.210459,33.911754
-84.213205,33.911373
-84.215185,33.911102
-84.215699,33.911033
-84.217258,33.910826
-84.219761,33.91049
-84.222403,33.910122
-84.222688,33.910081
-84.223604,33.909949
-84.224709,33.909764
-84.225627,33.909588
-84.226361,33.90943
-84.227252,33.909221
-84.228105,33.909007
-84.228904,33.908784
-84.229754,33.908531
-84.230337,33.908346
-84.230955,33.908139
-84.231572,33.907923
-84.232251,33.907675
-84.233118,33.907344
-84.233764,33.907077
-84.234542,33.90673
-84.23535,33.906358
-84.236813,33.905618
-84.237467,33.905271
-84.238104,33.904913
-84.238525,33.904665
-84.238938,33.904412
-84.240253,33.903595
-84.242605,33.902137
-84.24485,33.900744
-84.24654,33.899693
-84.248441,33.898529
-84.250453,33.897268
-84.251853,33.896407
-84.254324,33.89488
-84.256217,33.8937
-84.260941,33.890787
-84.262314,33.88993
-84.264449,33.888616
-84.264752,33.888425
-84.265229,33.888075
-84.265653,33.887735
-84.266029,33.887374
-84.266326,33.887076
-84.266624,33.886719
-84.267233,33.885949
-84.267753,33.885294
-84.26862,33.884217
-84.269679,33.882878
-84.270755,33.881533
-84.27171,33.880324
-84.272112,33.879963
-84.273046,33.878812
-84.273088,33.87876
-84.274186,33.877407
-84.275983,33.875162
-84.276467,33.874517
-84.276848,33.874028
-84.277259,33.873573
-84.277701,33.873146
-84.278111,33.872807
-84.278519,33.872492
-84.279496,33.871861
-84.28214,33.870147
-84.283201,33.869466
-84.284009,33.868914
-84.284792,33.868295
-84.285768,33.867442
-84.286845,33.866491
-84.290233,33.863446
-84.290934,33.862835
-84.291495,33.862308
-84.292032,33.861715
-84.292458,33.861115
-84.292997,33.860145
-84.29329,33.859585
-84.293774,33.858704
-84.294449,33.857482
-84.294772,33.857022
-84.295098,33.856606
-84.295455,33.856218
-84.295916,33.855803
-84.296666,33.85519
-84.299107,33.85322
-84.300035,33.85245
-84.301058,33.851624
-84.302044,33.850813
-84.302942,33.850017
-84.30315,33.849785
-84.303453,33.849425
-84.303681,33.849138
-84.30402,33.848651
-84.305053,33.846855
-84.306448,33.844395
-84.306839,33.843717
-84.307136,33.843269
-84.307339,33.843014
-84.307643,33.842683
-84.308084,33.842283
-84.308434,33.841995
-84.30897,33.841646
-84.309444,33.841396
-84.309899,33.841199
-84.310394,33.841019
-84.310894,33.840874
-84.311326,33.840781
-84.311751,33.840714
-84.312774,33.840592
-84.313671,33.840487
-84.317685,33.840049
-84.318644,33.839895
-84.319132,33.839771
-84.3196,33.839646
-84.32012,33.839481
-84.320625,33.839329
-84.321152,33.839101
-84.323415,33.837928
-84.326344,33.836422
-84.327167,33.836008
